rank,amfi_code,mean_daily_return,daily_std,sharpe_ratio,observations
1,148567,0.001074,0.008941,1.463,1149
2,120843,0.001082,0.010008,1.319,1149
3,148569,0.001124,0.011134,1.246,1149
4,119551,0.000917,0.008656,1.223,1149
5,120505,0.001161,0.012152,1.191,1149
6,149323,0.001055,0.011179,1.143,1149
7,100033,0.00108,0.011929,1.104,1149
8,118632,0.000865,0.008913,1.096,1149
9,101206,0.000852,0.009177,1.041,1149
10,120504,0.000843,0.009048,1.041,1149
11,119094,0.001027,0.012225,1.009,1149
12,119552,0.000785,0.008781,0.968,1149
13,149324,0.001194,0.015648,0.958,1149
14,119598,0.001201,0.015837,0.953,1149
15,148568,0.000825,0.009719,0.939,1149
16,120507,0.000268,0.000311,0.904,1149
17,102885,0.000674,0.008086,0.833,1149
18,120503,0.000698,0.008746,0.813,1149
19,125497,0.00071,0.009241,0.79,1149
20,118635,0.0006,0.008179,0.68,1149
21,120506,0.00065,0.009594,0.662,1149
22,118633,0.000616,0.008817,0.66,1149
23,102887,0.000645,0.009927,0.632,1149
24,120841,0.000522,0.008481,0.509,1149
25,149322,0.000522,0.009042,0.478,1149
26,118634,0.000707,0.015901,0.456,1149
27,125498,0.000477,0.011561,0.312,1149
28,120844,0.000256,0.000323,0.304,1149
29,101207,0.000424,0.016251,0.17,1149
30,119093,0.00033,0.008809,0.144,1149
31,120842,0.000312,0.011273,0.087,1149
32,119092,0.000275,0.008788,0.045,1149
33,119599,0.000201,0.015717,-0.049,1149
34,119095,0.000182,0.01579,-0.068,1149
35,119120,0.000222,0.002499,-0.176,1149
36,100016,0.000142,0.009164,-0.188,1149
37,102886,0.00011,0.011424,-0.195,1149
38,118636,0.000202,0.002511,-0.306,1149
39,101208,0.000242,0.000319,-0.417,1149
40,100025,0.00017,0.00246,-0.515,1149
