rank,amfi_code,mean_daily_return,downside_std,negative_days,sortino_ratio
1,148567,0.001074,0.005428,506,2.409
2,120843,0.001082,0.005531,534,2.387
3,148569,0.001124,0.006404,545,2.167
4,119551,0.000917,0.004887,518,2.166
5,120505,0.001161,0.007067,539,2.047
6,120507,0.000268,0.000147,225,1.919
7,149323,0.001055,0.00675,526,1.894
8,118632,0.000865,0.005211,532,1.875
9,100033,0.00108,0.007133,538,1.847
10,120504,0.000843,0.005145,517,1.83
11,101206,0.000852,0.005238,539,1.824
12,119094,0.001027,0.007163,553,1.722
13,119598,0.001201,0.008936,546,1.69
14,148568,0.000825,0.005514,537,1.656
15,119552,0.000785,0.0052,539,1.634
16,149324,0.001194,0.009175,542,1.634
17,102885,0.000674,0.004602,537,1.463
18,120503,0.000698,0.005216,545,1.362
19,125497,0.00071,0.005387,541,1.354
20,118633,0.000616,0.004928,552,1.18
21,118635,0.0006,0.004778,552,1.165
22,120506,0.00065,0.005681,545,1.118
23,102887,0.000645,0.005649,556,1.111
24,120841,0.000522,0.00486,545,0.889
25,149322,0.000522,0.005505,542,0.785
26,118634,0.000707,0.009558,554,0.759
27,120844,0.000256,0.000153,263,0.644
28,125498,0.000477,0.00683,548,0.527
29,101207,0.000424,0.009555,568,0.29
30,119093,0.00033,0.005164,554,0.246
31,120842,0.000312,0.006871,545,0.143
32,119092,0.000275,0.005146,557,0.077
33,119599,0.000201,0.009523,567,-0.081
34,119095,0.000182,0.009359,568,-0.115
35,119120,0.000222,0.001503,537,-0.292
36,100016,0.000142,0.005261,579,-0.327
37,102886,0.00011,0.006772,559,-0.328
38,118636,0.000202,0.001459,550,-0.526
39,100025,0.00017,0.001481,549,-0.856
40,101208,0.000242,0.000155,261,-0.86
