alpha_rank,amfi_code,alpha_annual_pct,beta,r_squared,p_value,observations
1,119598,30.34,-0.023,0.0,0.6872,1149
2,149324,30.06,0.011,0.0,0.8405,1149
3,120505,29.26,0.001,0.0,0.9901,1149
4,148569,28.27,0.018,0.0,0.6543,1149
5,120843,27.33,-0.023,0.0,0.5305,1149
6,100033,27.2,0.005,0.0,0.9064,1149
7,148567,26.98,0.024,0.0,0.4664,1149
8,149323,26.6,-0.003,0.0,0.9505,1149
9,119094,26.08,-0.066,0.002,0.136,1149
10,119551,23.2,-0.032,0.001,0.3131,1149
11,118632,21.83,-0.008,0.0,0.7966,1149
12,101206,21.4,0.021,0.0,0.5276,1149
13,120504,21.19,0.016,0.0,0.6219,1149
14,148568,20.87,-0.026,0.0,0.4554,1149
15,119552,19.87,-0.026,0.001,0.4127,1149
16,125497,17.73,0.049,0.002,0.1462,1149
17,120503,17.7,-0.04,0.001,0.2054,1149
18,118634,17.5,0.103,0.003,0.0733,1149
19,102885,17.05,-0.019,0.0,0.5076,1149
20,120506,16.25,0.042,0.001,0.2298,1149
21,102887,16.21,0.017,0.0,0.644,1149
22,118633,15.64,-0.037,0.001,0.2532,1149
23,118635,15.14,-0.001,0.0,0.9616,1149
24,149322,13.17,-0.004,0.0,0.902,1149
25,120841,13.04,0.036,0.001,0.2385,1149
26,125498,11.99,0.009,0.0,0.8295,1149
27,101207,10.9,-0.065,0.001,0.2692,1149
28,119093,8.23,0.026,0.001,0.4191,1149
29,120842,7.8,0.018,0.0,0.6596,1149
30,119092,6.9,0.01,0.0,0.7608,1149
31,120507,6.75,-0.0,0.0,0.6947,1149
32,120844,6.46,-0.0,0.0,0.7333,1149
33,101208,6.09,0.0,0.0,0.8182,1149
34,119120,5.62,-0.006,0.0,0.4804,1149
35,118636,5.07,0.001,0.0,0.8905,1149
36,119599,4.88,0.062,0.001,0.278,1149
37,119095,4.8,-0.067,0.001,0.2436,1149
38,100025,4.28,0.001,0.0,0.897,1149
39,100016,3.75,-0.058,0.003,0.0803,1149
40,102886,2.9,-0.042,0.001,0.3106,1149
