rank,amfi_code,peak_date,peak_nav,trough_date,trough_nav,maximum_drawdown_pct,drawdown_days
1,119599,2023-01-17,165.76,2025-10-28,78.62,-52.57,1015
2,119095,2025-05-22,106.82,2026-05-11,51.62,-51.68,354
3,101207,2024-11-21,80.35,2026-05-11,51.87,-35.45,536
4,149324,2024-05-03,174.46,2025-01-03,120.08,-31.17,245
5,119598,2024-08-28,225.25,2025-05-14,160.59,-28.71,259
6,102886,2025-01-07,169.82,2026-04-27,122.27,-28.0,475
7,100016,2022-03-30,546.3,2022-09-15,411.18,-24.73,169
8,120842,2023-11-09,80.08,2024-10-17,60.86,-24.0,343
9,118634,2025-04-09,126.72,2026-02-20,97.14,-23.34,317
10,119093,2022-02-24,42.22,2023-05-22,33.03,-21.75,452
11,102887,2022-01-03,191.07,2022-07-04,149.92,-21.54,182
12,125498,2025-04-04,169.0,2025-09-12,133.31,-21.12,161
13,119094,2022-04-14,77.82,2022-08-11,61.51,-20.96,119
14,120506,2023-03-31,277.81,2023-08-14,222.73,-19.83,136
15,118633,2023-10-30,62.75,2024-02-29,51.06,-18.63,122
16,120505,2024-10-24,342.43,2025-01-23,280.15,-18.19,91
17,120841,2024-01-09,435.78,2025-02-14,359.2,-17.57,402
18,118632,2024-01-02,81.93,2024-07-19,67.66,-17.41,199
19,149323,2022-06-06,88.17,2022-10-24,72.97,-17.25,140
20,148569,2023-08-10,54.54,2023-10-20,45.6,-16.4,71
21,100033,2022-03-11,111.66,2022-05-12,93.56,-16.22,62
22,148568,2023-09-05,155.25,2024-01-24,131.54,-15.27,141
23,125497,2023-12-22,857.87,2025-01-01,727.47,-15.2,376
24,119551,2023-08-24,77.51,2024-02-05,65.87,-15.01,165
25,149322,2022-01-03,348.72,2022-02-04,296.95,-14.84,32
26,119092,2023-10-12,54.84,2025-02-07,46.94,-14.4,484
27,120503,2023-09-19,83.7,2023-11-09,72.07,-13.9,51
28,120843,2022-03-07,51.49,2022-04-13,44.81,-12.97,37
29,120504,2022-10-04,73.25,2023-05-30,64.03,-12.59,238
30,119552,2024-05-21,123.63,2024-09-02,109.04,-11.8,104
31,118635,2022-01-03,170.34,2022-06-09,150.5,-11.65,157
32,101206,2023-04-24,370.0,2023-07-05,328.22,-11.29,72
33,148567,2023-07-11,101.85,2023-10-20,90.38,-11.27,101
34,102885,2022-02-03,93.78,2022-03-29,83.6,-10.86,54
35,118636,2023-02-09,34.17,2024-02-09,31.33,-8.32,365
36,119120,2024-09-16,52.5,2025-04-01,50.23,-4.33,197
37,100025,2023-05-23,28.75,2023-07-28,27.51,-4.31,66
38,101208,2023-09-05,347.0,2023-09-12,346.43,-0.16,7
39,120844,2024-04-12,3738.82,2024-04-30,3734.48,-0.12,18
40,120507,2025-10-16,372.04,2025-10-20,371.68,-0.1,4
