amfi_code,date,nav,scheme_name
119551,2022-01-03,54.3856,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-04,54.3474,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-05,54.6869,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-06,55.455,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-07,55.3692,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-10,55.2835,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-11,56.0878,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-12,56.4978,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-13,56.2934,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-14,56.5926,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-17,56.3908,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-18,56.1887,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-19,56.3378,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-20,55.4237,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-21,54.6151,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-24,54.373,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-25,53.9173,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-26,54.0948,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-27,53.6911,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-28,53.0538,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-01-31,53.7718,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-02-01,53.6925,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-02-02,53.7522,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-02-03,53.1084,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-02-04,52.8813,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-02-07,52.9604,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-02-08,52.4526,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-02-09,52.6538,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-02-10,52.4027,SBI Bluechip Fund - Regular Plan - Growth
119551,2022-02-11,52.295,SBI Bluechip Fund - Regular Plan - Growth
