fund_house,year,aum
Aditya Birla Sun Life MF,2022,285000
Aditya Birla Sun Life MF,2023,308000
Aditya Birla Sun Life MF,2024,384000
Aditya Birla Sun Life MF,2025,460000
Axis Mutual Fund,2022,240000
Axis Mutual Fund,2023,260000
Axis Mutual Fund,2024,300000
Axis Mutual Fund,2025,350000
DSP Mutual Fund,2022,112000
DSP Mutual Fund,2023,132000
DSP Mutual Fund,2024,188000
DSP Mutual Fund,2025,230000
HDFC Mutual Fund,2022,445000
HDFC Mutual Fund,2023,535000
HDFC Mutual Fund,2024,787000
HDFC Mutual Fund,2025,930000
ICICI Prudential MF,2022,488000
ICICI Prudential MF,2023,590000
ICICI Prudential MF,2024,874000
ICICI Prudential MF,2025,1074000
Kotak Mahindra MF,2022,272000
Kotak Mahindra MF,2023,325000
Kotak Mahindra MF,2024,489000
Kotak Mahindra MF,2025,580000
Mirae Asset MF,2022,108000
Mirae Asset MF,2023,142000
Mirae Asset MF,2024,210000
Mirae Asset MF,2025,290000
Nippon India MF,2022,278000
Nippon India MF,2023,340000
Nippon India MF,2024,570000
Nippon India MF,2025,700000
SBI Mutual Fund,2022,630000
SBI Mutual Fund,2023,845000
SBI Mutual Fund,2024,1114000
SBI Mutual Fund,2025,1250000
UTI Mutual Fund,2022,232000
UTI Mutual Fund,2023,265000
UTI Mutual Fund,2024,352000
UTI Mutual Fund,2025,410000
