investor_id,transaction_type,sip_amount,age_group,gender
INV003054,SIP,1834,56+,Female
INV002952,Redemption,392882,18-25,Male
INV003420,SIP,912,36-45,Male
INV003436,SIP,1102,36-45,Female
INV004691,Lumpsum,8682,26-35,Male
INV001497,SIP,3295,36-45,Male
INV000786,SIP,15047,26-35,Male
INV000616,SIP,933,36-45,Male
INV003670,SIP,10672,36-45,Male
INV002054,SIP,1111,26-35,Male
INV002592,Lumpsum,411860,26-35,Female
INV001023,SIP,4865,36-45,Male
INV002893,SIP,8472,56+,Male
INV000797,SIP,58257,36-45,Female
INV000368,Redemption,339882,26-35,Male
INV000548,SIP,1607,36-45,Male
INV000600,SIP,20890,26-35,Male
INV004347,SIP,1862,36-45,Male
INV000437,SIP,900,26-35,Female
INV000609,SIP,8493,18-25,Male
INV000428,SIP,9146,36-45,Male
INV003329,Lumpsum,295055,56+,Male
INV000968,Lumpsum,497564,36-45,Female
INV004154,SIP,1897,18-25,Male
INV000234,SIP,28094,26-35,Male
INV002885,Lumpsum,430566,26-35,Male
INV002157,Lumpsum,112928,26-35,Male
INV001665,SIP,3322,36-45,Male
INV002328,SIP,29901,26-35,Male
INV004174,SIP,57353,18-25,Male
INV004918,Redemption,153828,56+,Female
INV000478,SIP,59382,36-45,Female
INV000467,SIP,2623,18-25,Female
INV000603,SIP,2858,26-35,Male
INV004770,Lumpsum,92031,18-25,Female
INV004648,SIP,17860,36-45,Male
INV002432,SIP,3513,46-55,Female
INV002338,Lumpsum,292991,26-35,Male
INV001041,SIP,8547,18-25,Male
INV001400,SIP,10696,36-45,Male
INV000852,SIP,15916,26-35,Female
INV004915,SIP,14096,26-35,Male
INV002984,Redemption,230179,26-35,Male
INV002782,Lumpsum,250209,18-25,Male
INV002316,SIP,4715,26-35,Male
INV000097,Redemption,527377,18-25,Male
INV002139,Redemption,359482,36-45,Female
INV002219,Redemption,525983,26-35,Male
INV000576,Redemption,43157,46-55,Male
INV002166,SIP,1139,36-45,Male
INV000836,SIP,1139,26-35,Male
INV001540,SIP,16264,26-35,Female
INV003664,SIP,15555,46-55,Male
INV002966,SIP,15946,26-35,Female
INV002387,SIP,2891,26-35,Male
INV000983,SIP,3538,36-45,Male
INV004128,Redemption,58934,18-25,Male
INV000081,SIP,1842,36-45,Male
INV004548,Lumpsum,564276,36-45,Female
INV002253,Redemption,289915,46-55,Male
INV002942,Redemption,233200,36-45,Male
INV004308,SIP,25855,26-35,Female
INV000488,Redemption,343317,56+,Male
INV002560,SIP,6321,26-35,Male
INV003028,SIP,25360,26-35,Female
INV002868,SIP,59797,26-35,Female
INV001156,SIP,28986,56+,Female
INV000313,Lumpsum,497034,18-25,Female
INV003926,SIP,1891,46-55,Male
INV003383,Redemption,241316,18-25,Male
INV001017,Redemption,16893,26-35,Female
INV003225,SIP,3346,26-35,Male
INV003892,SIP,7250,46-55,Male
INV002135,Lumpsum,437305,56+,Male
INV002961,SIP,16811,26-35,Male
INV000983,SIP,10547,36-45,Male
INV003821,SIP,7584,18-25,Female
INV002940,SIP,966,26-35,Male
INV002817,Lumpsum,26453,26-35,Male
INV001890,SIP,859,26-35,Male
INV001888,Redemption,410786,18-25,Female
INV000370,SIP,17394,26-35,Female
INV002981,Lumpsum,100110,18-25,Female
INV003027,Lumpsum,330642,26-35,Male
INV001106,Lumpsum,50410,26-35,Male
INV003942,SIP,16594,26-35,Female
INV000339,Redemption,383487,26-35,Male
INV002811,SIP,2631,36-45,Male
INV004296,SIP,879,26-35,Male
INV002976,Lumpsum,234926,26-35,Male
INV000349,Redemption,335222,18-25,Female
INV002546,Redemption,22305,26-35,Male
INV003505,Lumpsum,362856,56+,Female
INV000006,SIP,8594,46-55,Female
INV000662,SIP,427,36-45,Female
INV001284,Lumpsum,6499,36-45,Male
INV004127,SIP,4185,36-45,Female
INV003208,SIP,2506,46-55,Male
INV002165,SIP,2539,46-55,Male
INV002621,SIP,401,26-35,Female
INV004502,SIP,10492,36-45,Male
INV001174,SIP,977,36-45,Male
INV004658,Lumpsum,17258,56+,Male
INV004656,Lumpsum,357937,18-25,Male
INV003658,SIP,12014,26-35,Male
INV003649,Redemption,483596,46-55,Female
INV004582,Lumpsum,249744,56+,Male
INV003232,SIP,9766,36-45,Female
INV004414,SIP,14409,26-35,Male
INV001799,Lumpsum,116421,56+,Female
INV001506,Lumpsum,19502,26-35,Female
INV001699,SIP,1108,26-35,Male
INV002196,SIP,1696,26-35,Female
INV001328,Redemption,484947,26-35,Male
INV004567,SIP,14130,56+,Male
INV003865,SIP,3482,18-25,Female
INV000105,SIP,5253,56+,Male
INV004514,SIP,16661,46-55,Male
INV004516,SIP,1137,36-45,Male
INV002374,Redemption,81173,26-35,Female
INV001727,SIP,16687,46-55,Female
INV002888,Redemption,259110,26-35,Male
INV001769,SIP,889,18-25,Male
INV003609,SIP,16476,26-35,Male
INV003571,SIP,536,36-45,Male
INV001367,SIP,10274,36-45,Male
INV003178,Lumpsum,118897,46-55,Female
